region,city,country,utility_primary,heating_degree_days,heat_pump_rebate,heat_pump_system_size,heat_pump_cost,heat_pump_annual_savings,heat_pump_payback_years,solar_rebate,solar_kw,solar_cost,solar_annual_savings,solar_payback_years,battery_rebate,battery_kwh,battery_cost,water_heater_rebate,insulation_rebate,windows_rebate,ev_charger_rebate,thermostat_rebate,notes,source_utility,source_state,source_city,verified_date
on,Niagara Falls,CA,Alectra Utilities,4600,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Niagara Falls,2026-08-17
on,Ottawa,CA,Hydro Ottawa,4900,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Hydro Ottawa,ON,Ottawa,2026-08-17
on,Peterborough,CA,Peterborough Utilities Commission,5200,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Peterborough Utilities Commission,ON,Peterborough,2026-08-17
on,Sault Ste Marie,CA,Sault Ste. Marie Public Utilities,5900,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Sault Ste. Marie Public Utilities,ON,Sault Ste Marie,2026-08-17
on,Sudbury,CA,Greater Sudbury Utilities,5800,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Greater Sudbury Utilities,ON,Sudbury,2026-08-17
on,Thunder Bay,CA,Thunder Bay Hydro,6200,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Thunder Bay Hydro,ON,Thunder Bay,2026-08-17
on,Timmins,CA,Hydro One,6100,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Hydro One,ON,Timmins,2026-08-17
on,Toronto,CA,Toronto Hydro,4500,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Toronto Hydro,ON,Toronto,2026-08-17
on,Vaughan,CA,Alectra Utilities,4600,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Vaughan,2026-08-17
on,Windsor,CA,Enwin Utilities,4800,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Enwin Utilities,ON,Windsor,2026-08-17
