state,category,data_type,source_url_1,source_url_2,source_url_3,verified_date,notes
CA,Windows,Rebate Amounts,https://energyrebatecalculator.com/rebates/california/windows-doors,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,https://mycoastalwindows.com/ufaq/do-new-windows-qualify-for-tax-credits-or-rebates/,2026-08-17,HOMES program not yet launched. HEAR closed. No CA state window rebates available 2026. Federal 25C expired 12/31/25.
CA,Insulation,Rebate Amounts,https://dulocore.com/rebates/california/insulation/,https://energyrebatecalculator.com/rebates/california/insulation,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,2026-08-17,HEAR $1600 for income-qualified (closed 2/26). HOMES future program when launched up to $8000.
CA,Thermostat,Rebate Amounts,https://smartsmssolutions.com/resources/blog/business/smart-thermostat-rebates-guide,https://goldenstaterebates.com/goldenstaterebates/rebates/smart-thermostats/,https://energyrebatecalculator.com/articles/smart-thermostat-rebates-2026-ira.html,2026-08-17,PG&E/SCE/SDG&E/SoCalGas $50-75. Golden State Rebates ended 7/31/26.
NY,Heat Pump,Rebate Amounts,https://heatpumpnetwork.com/heat-pump-rebates-new-york/,https://rebateatlas.org/states/new-york/,https://energyrebatecalculator.com/utility/con-edison,2026-08-17,Con Edison NY Clean Heat up to $10k confirmed. HEAR income-qualified up to $14k. NYSERDA/National Grid amounts need verification.
NY,Water Heater,Rebate Amounts,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-residential-customers/electric-heating-and-cooling-technology-for-renters-homeowners/swap-your-water-heater-and-save,https://energyrebatecalculator.com/rebates/new-york,https://heatpumpnetwork.com/heat-pump-rebates-new-york/,2026-08-17,Con Edison HPWH $1300. NYSERDA up to $5500. Verify National Grid amounts.
NY,Solar,Net Metering,https://rebateatlas.org/states/new-york/,https://energyrebatecalculator.com/rebates/new-york,https://www.digitalwindmill.com/sustainability-policy/electric-vehicle-incentives-by-state,2026-08-17,VDER (Value of Distributed Energy Resources) in effect. Reduced compensation vs traditional net metering. SMART program has waiting list.
NY,EV Charger,Rebate Amounts,https://eviqo.io/pages/ev-charger-rebates,https://recharged.com/articles/ev-incentives-2026-by-state/,https://www.digitalwindmill.com/sustainability-policy/electric-vehicle-incentives-by-state,2026-08-17,Con Edison SmartCharge NY ~$400/year for off-peak. No state-level home charger rebate. Federal 30C ended 6/30/26.
NY,National Grid,Rebate Programs,https://www.nationalgridus.com/Upstate-NY-Home/Energy-Saving-Programs/,https://www.amplifyincentives.com/NationalGridNYGas/,https://www.nationalgridus.com/Services-Rebates?r=10&page=1&customerType=For+Homeowners&locations=Upstate+New+York,2026-08-17,National Grid Total Home Comfort closed to new apps as of search date. Program details need current verification from NG directly.
MA,Heat Pump,Rebate Amounts,https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026,https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows,https://masshvac.com/massachusetts-hvac-rebates/,2026-08-17,"Mass Save $2650/ton whole-home (cap $8500), $1125/ton partial (cap $8500), $250/ton basic (cap $2500). R-410A banned 1/1/26, only R-32/R-454B qualify."
MA,Insulation,Rebate Amounts,https://nuwattenergy.com/en/massachusetts/mass-save-insulation-rebates-2026,https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows,https://neeeco.com/blog/the-best-mass-save-rebates-and-incentives-for-2026/,2026-08-17,Mass Save covers 75% of insulation (attic/wall/basement/air-seal). Income-qual pay 0%. Instant rebates at installation.
MA,Water Heater,Rebate Amounts,https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026,https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows,https://lelahomelife.com/blog/mass-save-rebates-2026,2026-08-17,Mass Save heat pump water heater $750 rebate. Federal credit expired 12/31/25.
MA,Windows,Rebate Amounts,https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows,https://energyrebatecalculator.com/rebates/massachusetts,https://mycoastalwindows.com/ufaq/do-new-windows-qualify-for-tax-credits-or-rebates/,2026-08-17,Mass Save $75/window for single-pane to ENERGY STAR Most Efficient upgrade. Available through 12/31/26. Federal 25C expired 12/31/25.
MA,Thermostat,Rebate Amounts,https://www.masssave.com/residential/rebates-offers-services/heating-and-cooling/smart-and-programmable-thermostats,https://smartsmssolutions.com/resources/blog/business/smart-thermostat-rebates-guide,https://energyrebatecalculator.com/rebates/massachusetts,2026-08-17,Mass Save up to $100. Limit 3 per account every 3 years. Offered through National Grid and Eversource.
MA,Solar,SMART Program,https://energyrebatecalculator.com/rebates/massachusetts,https://rebateatlas.org/states/massachusetts/,https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026,2026-08-17,SMART program has waiting list. Availability depends on utility territory block capacity. New capacity added periodically at lower rates.
ALL,Heating Degree Days,Annual Data,https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/cdus/degree_days/wctyhddy.txt,https://www.degreedays.net/,https://www.huduser.gov/resources/utilitymodel/hdd.html,2026-08-17,Data sources identified but specific 2024-2025 annual values by city require additional verification from NOAA or degreedays.net.
